Count,Geometry,Phase,Orientation,Angle,r/D,L/D,H/D,Froude_No,Fluid_Reynolds,Archimedes_No,Stokes_No,Particle_Reynolds,Diameter_Ratio,Density_Ratio,Hardness,Volume_Fraction,Particle_Sharpness,Erosion_Ratio(mm/kg),-20%,+20%,Reference
44,Elbow,Gas-solid,V-H,90,1.5,236.220472440945,0,17.3491926550206,77787.5,2652.5826140625,144.903762029746,306.25,0.00393700787401575,0.000462264150943396,1232.52032520325,2.43256084266872E-05,1,0.000227,0.0001816,0.0002724,Viera (2014)
45,Elbow,Gas-solid,V-H,90,1.5,236.220472440945,0,12.7227412803484,57044.1666666667,2652.5826140625,106.262758821814,224.583333333333,0.00393700787401575,0.000462264150943396,2291.87663777464,2.79473587106943E-05,1,0.0000679,0.00005432,0.00008148,Viera (2014)
46,Elbow,Gas-solid,V-H,90,1.5,236.220472440945,0,31.2285467790371,140017.5,331.572826757812,65.2066929133858,275.625,0.00196850393700787,0.000462264150943396,380.407507778781,1.07831512254541E-05,1,0.000327,0.0002616,0.0003924,Viera (2014)
47,Elbow,Gas-solid,V-H,90,1.5,236.220472440945,0,26.6020954043649,119274.166666667,331.572826757812,55.5464421114027,234.791666666667,0.00196850393700787,0.000462264150943396,524.228871778321,1.24919015555337E-05,1,0.000192,0.0001536,0.0002304,Viera (2014)
48,Elbow,Gas-solid,V-H,90,1.5,236.220472440945,0,17.3491926550206,77787.5,331.572826757812,36.2259405074366,153.125,0.00196850393700787,0.000462264150943396,1232.52032520325,1.23864156934505E-05,1,0.0000821,0.00006568,0.00009852,Viera (2014)
49,Elbow,Gas-solid,H-H,90,1.5,236.220472440945,0,31.2285467790371,140017.5,2652.5826140625,260.826771653543,551.25,0.00393700787401575,0.000462264150943396,380.407507778781,1.03575049278655E-05,1,0.00067,0.000536,0.000804,Vieira (2014)
50,Elbow,Gas-solid,H-H,90,1.5,236.220472440945,0,17.3491926550206,77787.5,2652.5826140625,144.903762029746,306.25,0.00393700787401575,0.000462264150943396,1232.52032520325,1.04710106426526E-05,1,0.00034,0.000272,0.000408,Vieira (2014)
51,Elbow,Gas-solid,V-H,90,1.5,177.165354330709,0,15.0248415743982,103716.666666667,331.572826757812,27.1694553805774,153.125,0.00147637795275591,0.000462264150943396,1232.52032520325,1.72390097766238E-06,1,0.0000493,0.00003944,0.00005916,Fan (2010)
52,Elbow,Gas-solid,V-H,90,1.5,177.165354330709,0,15.0248415743982,103716.666666667,331.572826757812,27.1694553805774,153.125,0.00147637795275591,0.000462264150943396,1232.52032520325,1.72390097766238E-06,1,0.0000536,0.00004288,0.00006432,Fan (2010)
53,Elbow,Gas-solid,V-H,90,1.5,177.165354330709,0,15.0248415743982,103716.666666667,2652.5826140625,108.67782152231,306.25,0.00295275590551181,0.000462264150943396,1232.52032520325,1.29292629046601E-06,1,0.000232,0.0001856,0.0002784,Fan (2010)
